code,depart,arrive
DFW,455594,591393
MIA,445266,489589
JFK,451310,480219
LAX,426588,456863
ATL,394025,400864
SFO,286003,301932
EWR,288508,280657
ORD,248336,272459
SEA,244265,249347
IAH,231590,241408
HNL,194217,197220
IAD,152934,173987
CLT,159108,171109
LAS,163800,170319
MCO,159404,159274
DEN,148615,148167
BOS,133025,144226
DCA,126525,142410
PHX,127982,138711
FLL,106711,124032
DTW,123683,122295
NRT,140308,118465
GRU,112204,103975
PHL,95788,99138
LHR,103153,98730
SNA,104353,98726
BWI,99614,97984
MSP,86808,95321
PDX,71888,93228
FRA,96569,89517
SJC,65672,85811
CDG,89230,83195
TPA,93687,81773
SJU,72268,78087
MDW,106445,76433
OGG,78234,75392
SAN,76721,74313
YYZ,72917,71592
DXB,75859,70454
HKG,59768,66474
PEK,74599,66043
STL,64848,65182
SMF,70586,61243
SLC,65718,60639
ICN,64951,60472
MEX,62058,58398
GUM,42797,58336
PVG,61957,53067
TUS,49485,52774
ZRH,46521,50448
AMS,54116,50337
LGB,51583,49533
SFB,48046,47253
TPE,47251,46708
HOU,31955,45044
LIH,42609,44877
RSW,30115,43565
MUC,44812,42334
SJO,55719,40574
YVR,54422,39780
PTY,43993,39208
IST,40624,37951
CUN,41045,37917
PBI,39857,37766
LIM,41457,36989
DUB,38514,36837
YUL,22040,35386
OAK,31975,35139
BNA,37345,34478
MAD,37468,34174
GIG,40529,33721
KOA,23260,33273
DOH,37333,32972
SAT,26830,32932
SAL,34843,32714
YYC,31875,32173
MAN,25128,32118
AZA,31411,31919
JAX,30292,31846
CVG,22591,31743
GDL,38748,31564
SCL,35100,30875
AUS,44119,29970
MSY,34098,29859
STT,31526,29601
BOI,40438,27951
SDQ,24887,27877
SPN,25616,27815
CLE,24446,27695
PSP,35171,27487
IND,28615,27133
DUS,26089,26849
DAL,30256,26182
LGA,31906,25980
SYD,28952,25979
RDU,27712,25335
CAK,30756,25240
PIT,26607,24926
SVO,25379,24878
YEG,28426,24822
MKE,44411,24760
EZE,29846,24154
COS,24170,24077
ANC,26279,23989
DEL,26057,23710
MCI,39392,23666
POS,25673,23322
YTZ,21742,23172
ONT,26519,22968
EGE,28201,22424
RIC,22675,21619
FAT,24482,21039
ABQ,39156,21036
MBJ,28801,20982
BNE,9686,20823
ACY,21175,20211
LIT,15893,20100
BRU,22039,19498
ASE,23290,19378
KIX,20639,19277
RNO,24335,19232
EYW,22802,18938
KIN,22636,18749
TLV,20963,18146
DAY,18410,17571
MEL,14601,17462
BOG,15004,17258
AUH,20224,17005
GEG,16549,16950
PWM,19744,16756
ORF,15673,16604
TYS,17082,16541
GUA,10600,16379
PUJ,21778,16362
KEF,16589,16094
CMH,28175,16021
OKC,14513,15507
PSC,16081,15489
PVR,14239,15470
CAN,16822,15401
BLI,23637,15338
TTN,15725,15305
SXM,4040,15254
BZE,17177,14934
MRY,13888,14926
YOW,17038,14648
JAN,12504,14638
MTY,20382,14602
CCS,10716,14261
LGW,13369,14145
